NAME,DP03_0120PE,state,county
"Adams County, Nebraska",14.8,31,001
"Antelope County, Nebraska",16.1,31,003
"Arthur County, Nebraska",7.1,31,005
"Banner County, Nebraska",18.8,31,007
"Blaine County, Nebraska",25.0,31,009
"Boone County, Nebraska",4.9,31,011
"Box Butte County, Nebraska",18.1,31,013
"Boyd County, Nebraska",9.6,31,015
"Brown County, Nebraska",18.3,31,017
"Buffalo County, Nebraska",13.7,31,019
"Burt County, Nebraska",7.7,31,021
"Butler County, Nebraska",11.7,31,023
"Cass County, Nebraska",4.2,31,025
"Cedar County, Nebraska",9.5,31,027
"Chase County, Nebraska",19.6,31,029
"Cherry County, Nebraska",2.5,31,031
"Cheyenne County, Nebraska",7.5,31,033
"Clay County, Nebraska",9.0,31,035
"Colfax County, Nebraska",8.9,31,037
"Cuming County, Nebraska",18.1,31,039
"Custer County, Nebraska",9.0,31,041
"Dakota County, Nebraska",20.7,31,043
"Dawes County, Nebraska",13.6,31,045
"Dawson County, Nebraska",19.4,31,047
"Deuel County, Nebraska",20.9,31,049
"Dixon County, Nebraska",13.1,31,051
"Dodge County, Nebraska",18.1,31,053
"Douglas County, Nebraska",14.6,31,055
"Dundy County, Nebraska",11.0,31,057
"Fillmore County, Nebraska",12.4,31,059
"Franklin County, Nebraska",17.3,31,061
"Frontier County, Nebraska",13.2,31,063
"Furnas County, Nebraska",21.2,31,065
"Gage County, Nebraska",16.9,31,067
"Garden County, Nebraska",15.7,31,069
"Garfield County, Nebraska",15.0,31,071
"Gosper County, Nebraska",13.3,31,073
"Grant County, Nebraska",26.9,31,075
"Greeley County, Nebraska",14.2,31,077
"Hall County, Nebraska",13.5,31,079
"Hamilton County, Nebraska",12.1,31,081
"Harlan County, Nebraska",16.6,31,083
"Hayes County, Nebraska",10.1,31,085
"Hitchcock County, Nebraska",23.4,31,087
"Holt County, Nebraska",6.6,31,089
"Hooker County, Nebraska",8.2,31,091
"Howard County, Nebraska",11.9,31,093
"Jefferson County, Nebraska",14.0,31,095
"Johnson County, Nebraska",19.4,31,097
"Kearney County, Nebraska",14.9,31,099
"Keith County, Nebraska",9.5,31,101
"Keya Paha County, Nebraska",28.6,31,103
"Kimball County, Nebraska",13.2,31,105
"Knox County, Nebraska",18.1,31,107
"Lancaster County, Nebraska",12.9,31,109
"Lincoln County, Nebraska",12.0,31,111
"Logan County, Nebraska",13.1,31,113
"Loup County, Nebraska",32.3,31,115
"McPherson County, Nebraska",12.7,31,117
"Madison County, Nebraska",13.1,31,119
"Merrick County, Nebraska",15.9,31,121
"Morrill County, Nebraska",23.5,31,123
"Nance County, Nebraska",7.9,31,125
"Nemaha County, Nebraska",15.0,31,127
"Nuckolls County, Nebraska",29.4,31,129
"Otoe County, Nebraska",13.9,31,131
"Pawnee County, Nebraska",18.6,31,133
"Perkins County, Nebraska",6.9,31,135
"Phelps County, Nebraska",11.1,31,137
"Pierce County, Nebraska",7.9,31,139
"Platte County, Nebraska",10.3,31,141
"Polk County, Nebraska",10.7,31,143
"Red Willow County, Nebraska",10.2,31,145
"Richardson County, Nebraska",17.0,31,147
"Rock County, Nebraska",9.8,31,149
"Saline County, Nebraska",12.4,31,151
"Sarpy County, Nebraska",6.5,31,153
"Saunders County, Nebraska",8.2,31,155
"Scotts Bluff County, Nebraska",21.4,31,157
"Seward County, Nebraska",2.4,31,159
"Sheridan County, Nebraska",20.3,31,161
"Sherman County, Nebraska",15.9,31,163
"Sioux County, Nebraska",8.1,31,165
"Stanton County, Nebraska",13.1,31,167
"Thayer County, Nebraska",13.5,31,169
"Thomas County, Nebraska",0.0,31,171
"Thurston County, Nebraska",32.7,31,173
"Valley County, Nebraska",17.9,31,175
"Washington County, Nebraska",2.6,31,177
"Wayne County, Nebraska",22.3,31,179
"Webster County, Nebraska",11.9,31,181
"Wheeler County, Nebraska",10.6,31,183
"York County, Nebraska",3.8,31,185
